Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category
IndianOil,3.9,-876,30.722814,76.738078,FuelStation,PetrolPump
HPPetrolPump,4,"-1,923",30.714826,76.742931,FuelStation,PetrolPump
RajpuraAmbala,4,-56,30.716872,76.752498,FuelStation,PetrolPump
AutoLPGSTATION,4.4,-37,30.724181,76.770894,FuelStation,LPGStation
KapoorServiceStation,4.2,-60,30.724066,76.770854,FuelStation,LPGStation
IndianOil,3.9,-876,30.722814,76.738078,FuelStation,LPGStation
IndianOil,4,-414,30.724312,76.770866,FuelStation,LPGStation
BPCLPetrolPump,3.8,-265,30.729383,76.766404,FuelStation,LPGStation
BharatPetroleumKeroseneFilingStation,4.1,-26,30.725167,76.758807,FuelStation,PetrolPump
Supergasservicebharatgas,3.6,-59,30.727327,76.74899,FuelStation,PetrolPump
Supergasservicebharatgas,3.6,-59,30.727327,76.74899,FuelStation,LPGStation
ChargeZoneChargingStation,N/A,N/A,30.742719,76.754866,FuelStation,ElectricalChargingStation
IndianOil,3.9,-949,30.742697,76.754974,FuelStation,PetrolPump
PerfectPunture,N/A,N/A,30.74283,76.754919,FuelStation,PetrolPump
IndianOil,3.9,-949,30.742697,76.754974,FuelStation,LPGStation
IndianOil,4.1,"-2,027",30.696984,76.758506,FuelStation,PetrolPump
IndianOil,3.8,-491,30.698511,76.758614,FuelStation,PetrolPump
IndianOil,3.9,"-1,177",30.679655,76.746323,FuelStation,PetrolPump
MaanVehiclePollutionCheckCentre49,4,-40,30.697025,76.758798,FuelStation,PetrolPump
Perfectpenctureshop,1,-1,30.698474,76.758609,FuelStation,PetrolPump
IndianOil,3.9,"-1,177",30.679655,76.746323,FuelStation,LPGStation
IndianOil,4.1,"-2,027",30.696984,76.758506,FuelStation,LPGStation
HarpalMotors,4.8,-4,30.68676,76.760677,FuelStation,LPGStation
IndianOil,4.1,"-2,027",30.696984,76.758506,FuelStation,PetrolPump
IndianOil,3.8,-491,30.698511,76.758614,FuelStation,PetrolPump
HPPETROLPUMP-CITYSERVICESTATION,3.9,-660,30.691803,76.734586,FuelStation,PetrolPump
IndianOil,4.1,"-2,285",30.710815,76.743211,FuelStation,PetrolPump
BharatPetroleum,4.4,"-3,067",30.723274,76.771616,FuelStation,PetrolPump
IndianOil,4.1,"-2,027",30.696984,76.758506,FuelStation,LPGStation
EVortableChargingStation,N/A,N/A,30.7063,76.757552,FuelStation,ElectricalChargingStation
IndianOil,4.1,"-2,027",30.696984,76.758506,FuelStation,PetrolPump
IndianOil,4.1,-824,30.716741,76.752579,FuelStation,PetrolPump
IndianOil,3.8,-491,30.698511,76.758614,FuelStation,PetrolPump
HPPetrolPump,4,"-1,923",30.714826,76.742931,FuelStation,PetrolPump
MunicipalPetrolPump,3.9,-330,30.709849,76.747231,FuelStation,PetrolPump
IndianOil,4.1,"-2,285",30.710815,76.743211,FuelStation,LPGStation
"KaranFillingStation,Chandigarh",4.2,-19,30.710894,76.743042,FuelStation,LPGStation
IndianOil,4.1,"-2,027",30.696984,76.758506,FuelStation,LPGStation
AmaliaPumpCNGFillingCentre,4,"-2,718",30.709726,76.748739,FuelStation,LPGStation
Indane-PuniaGasService,3.1,-70,30.709731,76.772789,FuelStation,LPGStation
IndianOil,4.1,"-2,285",30.710815,76.743211,FuelStation,PetrolPump
IndianOil,4.1,-824,30.716741,76.752579,FuelStation,PetrolPump
HPPetrolPump,4,"-1,923",30.714826,76.742931,FuelStation,PetrolPump
IndianOil,4.1,-359,30.718891,76.768166,FuelStation,PetrolPump
MunicipalPetrolPump,3.9,-330,30.709849,76.747231,FuelStation,PetrolPump
PowerbankChargingStation,N/A,N/A,30.718145,76.776171,FuelStation,ElectricalChargingStation
ChargeZoneChargingStation,N/A,N/A,30.72684,76.767139,FuelStation,ElectricalChargingStation
BharatPetroleum,4.4,"-3,067",30.723274,76.771616,FuelStation,PetrolPump
IndianOil,4.1,-824,30.716741,76.752579,FuelStation,PetrolPump
IndianOil,4.1,-359,30.718891,76.768166,FuelStation,PetrolPump
IndianOil,4.1,-617,30.720192,76.770317,FuelStation,PetrolPump
HPPetrolPump,4,"-1,923",30.714826,76.742931,FuelStation,PetrolPump
AutoLPGSTATION,4.4,-37,30.724181,76.770894,FuelStation,LPGStation
KapoorServiceStation,4.2,-60,30.724066,76.770854,FuelStation,LPGStation
IndianOil,4,-414,30.724312,76.770866,FuelStation,LPGStation
BPCLPetrolPump,3.8,-265,30.729383,76.766404,FuelStation,LPGStation
"BPCL,ShyamaShyamFillingStation",3.8,-158,30.72906,76.765775,FuelStation,LPGStation
ChargeZoneChargingStation,N/A,N/A,30.72684,76.767139,FuelStation,ElectricalChargingStation
BharatPetroleum,4.4,"-3,067",30.723274,76.771616,FuelStation,PetrolPump
BPCLPetrolPump,3.8,-265,30.729383,76.766404,FuelStation,PetrolPump
"BPCL,ShyamaShyamFillingStation",3.8,-158,30.72906,76.765775,FuelStation,PetrolPump
IndianOil,4,-414,30.724312,76.770866,FuelStation,PetrolPump
HPPETROLPUMPSUDTRADERS,4.1,-858,30.730425,76.773952,FuelStation,PetrolPump
BPCLPetrolPump,3.8,-265,30.729383,76.766404,FuelStation,LPGStation
"BPCL,ShyamaShyamFillingStation",3.8,-158,30.72906,76.765775,FuelStation,LPGStation
ChargeZoneChargingStation,N/A,N/A,30.742719,76.754866,FuelStation,ElectricalChargingStation
IndianOil,3.9,-949,30.742697,76.754974,FuelStation,PetrolPump
HPPETROLPUMPSUDTRADERS,4.1,-858,30.730425,76.773952,FuelStation,PetrolPump
Pollutioncentre,4.2,-847,30.740018,76.777654,FuelStation,PetrolPump
BPCLPetrolPump,3.8,-265,30.729383,76.766404,FuelStation,PetrolPump
"BPCL,ShyamaShyamFillingStation",3.8,-158,30.72906,76.765775,FuelStation,PetrolPump
IndianOil,3.6,-140,30.736788,76.776088,FuelStation,LPGStation
BPCLPetrolPump,3.8,-265,30.729383,76.766404,FuelStation,LPGStation
"BPCL,ShyamaShyamFillingStation",3.8,-158,30.72906,76.765775,FuelStation,LPGStation
IndianOil,3.9,-949,30.742697,76.754974,FuelStation,LPGStation
CarA/CGasFilling&Repair,2.3,-4,30.686733,76.759073,FuelStation,PetrolPump
HarpalMotors,4.8,-4,30.68676,76.760677,FuelStation,LPGStation
TataPowerChargingStation,4,-13,30.699073,76.785557,FuelStation,ElectricalChargingStation
EVortableChargingStation,N/A,N/A,30.7063,76.757552,FuelStation,ElectricalChargingStation
IndianOil,4.1,"-2,027",30.696984,76.758506,FuelStation,PetrolPump
IndianOil,3.8,-491,30.698511,76.758614,FuelStation,PetrolPump
CLUBHPPETROLPUMPVISHALSERVICESTATION,4,"-1,633",30.705716,76.78751,FuelStation,PetrolPump
IndianOil,4.1,"-2,285",30.710815,76.743211,FuelStation,PetrolPump
BharatPetroleum,4,-942,30.69622,76.787493,FuelStation,PetrolPump
IndianOil,4.1,"-2,027",30.696984,76.758506,FuelStation,LPGStation
HarpalMotors,4.8,-4,30.68676,76.760677,FuelStation,LPGStation
EVortableChargingStation,N/A,N/A,30.7063,76.757552,FuelStation,ElectricalChargingStation
Dreampartyplandecoration,5,-25,30.707189,76.75765,FuelStation,PetrolPump
Indane-PuniaGasService,3.1,-70,30.709731,76.772789,FuelStation,PetrolPump
Indane-PuniaGasService,3.1,-70,30.709731,76.772789,FuelStation,LPGStation
PowerbankChargingStation,N/A,N/A,30.718145,76.776171,FuelStation,ElectricalChargingStation
EVortableChargingStation,N/A,N/A,30.7063,76.757552,FuelStation,ElectricalChargingStation
IndianOil,4.1,-824,30.716741,76.752579,FuelStation,PetrolPump
IndianOil,4.1,-359,30.718891,76.768166,FuelStation,PetrolPump
HindustanPetroleum,4,-402,30.718033,76.776222,FuelStation,PetrolPump
MunicipalPetrolPump,3.9,-330,30.709849,76.747231,FuelStation,PetrolPump
HPPETROLPUMP-ROCKROSEAUTOCENTRE,4.1,-210,N/A,N/A,FuelStation,PetrolPump
AutoLPGSTATION,4.4,-37,30.724181,76.770894,FuelStation,LPGStation
KapoorServiceStation,4.2,-60,30.724066,76.770854,FuelStation,LPGStation
IndianOil,4,-414,30.724312,76.770866,FuelStation,LPGStation
HindustanPetroleum,4,-402,30.718033,76.776222,FuelStation,LPGStation
IndianOil,4.1,-617,30.720192,76.770317,FuelStation,LPGStation
PowerbankChargingStation,N/A,N/A,30.718145,76.776171,FuelStation,ElectricalChargingStation
ChargeZoneChargingStation,N/A,N/A,30.72684,76.767139,FuelStation,ElectricalChargingStation
BharatPetroleum,4.4,"-3,067",30.723274,76.771616,FuelStation,PetrolPump
IndianOil,4.1,-824,30.716741,76.752579,FuelStation,PetrolPump
IndianOil,4.1,-359,30.718891,76.768166,FuelStation,PetrolPump
HindustanPetroleum,4,-402,30.718033,76.776222,FuelStation,PetrolPump
IndianOil,4.1,-617,30.720192,76.770317,FuelStation,PetrolPump
AutoLPGSTATION,4.4,-37,30.724181,76.770894,FuelStation,LPGStation
KapoorServiceStation,4.2,-60,30.724066,76.770854,FuelStation,LPGStation
IndianOil,4,-414,30.724312,76.770866,FuelStation,LPGStation
HindustanPetroleum,4,-402,30.718033,76.776222,FuelStation,LPGStation
BPCLPetrolPump,3.8,-265,30.729383,76.766404,FuelStation,LPGStation
ChargeZoneChargingStation,N/A,N/A,30.72684,76.767139,FuelStation,ElectricalChargingStation
BharatPetroleum,4.4,"-3,067",30.723274,76.771616,FuelStation,PetrolPump
HPPETROLPUMPSUDTRADERS,4.1,-858,30.730425,76.773952,FuelStation,PetrolPump
BPCLPetrolPump,3.8,-265,30.729383,76.766404,FuelStation,PetrolPump
"BPCL,ShyamaShyamFillingStation",3.8,-158,30.72906,76.765775,FuelStation,PetrolPump
IndianOil,3.6,-140,30.736788,76.776088,FuelStation,PetrolPump
AutoLPGSTATION,4.4,-37,30.724181,76.770894,FuelStation,LPGStation
KapoorServiceStation,4.2,-60,30.724066,76.770854,FuelStation,LPGStation
IndianOil,3.6,-140,30.736788,76.776088,FuelStation,LPGStation
IndianOil,4,-414,30.724312,76.770866,FuelStation,LPGStation
BPCLPetrolPump,3.8,-265,30.729383,76.766404,FuelStation,LPGStation
KineticGreenChandigarhBestElectricScootersPURISONS,5,-34,30.745193,76.761639,FuelStation,ElectricalChargingStation
IndianOil,3.6,-140,30.736788,76.776088,FuelStation,PetrolPump
IndianOil,3.6,-140,30.736788,76.776088,FuelStation,LPGStation
BurgerKing,4.6,-150,30.678315,76.724094,Restaurant,FastFood
"Burgrill,Sector67Mohali",4.2,-135,30.675855,76.73977,Restaurant,FastFood
Scoobyard-BestfastFoodRestaurantinChandigarh,3.3,-4,30.694726,76.76969,Restaurant,FastFood
HungryPoint,4,-4,30.680319,76.724763,Restaurant,FastFood
"SodhisZaika,BestFastFood,StreetFoodinChandigarh",4.1,-721,30.700667,76.765781,Restaurant,FastFood
MohaliRocksRestaurant&PartyHall,5,-184,30.682598,76.743445,Restaurant,FineDining
BBQTONIGHT,5,-1,30.688325,76.7377,Restaurant,FineDining
TheChefDude,4.3,-8,N/A,N/A,Restaurant,FineDining
SagarRatna,3.8,-916,30.687529,76.737859,Restaurant,FineDining
KakeDiHattiMohali,4.5,-386,30.685511,76.739446,Restaurant,FineDining
KAFEALLNIGHT(THEBABBUMAANSTORE),4.6,-58,30.686082,76.739396,Restaurant,Cafe
ZocaCafeMohali,4.6,-153,30.687961,76.737506,Restaurant,Cafe
WaycupCafe|Mohali,4.5,-583,30.685425,76.721472,Restaurant,Cafe
CafePlusHospitalityServices,5,-42,30.692315,76.733451,Restaurant,Cafe
AnytimeCafe,4.5,-109,30.687912,76.737505,Restaurant,Cafe
BNBAKERS,4.1,"-1,267",30.686191,76.738758,Restaurant,Bakery
BestBaker&Cafe,4.9,-33,30.693888,76.732593,Restaurant,Bakery
PunjabanBakery,5,-26,30.68506,76.748632,Restaurant,Bakery
AnandBakers,4.4,-25,30.685269,76.739668,Restaurant,Bakery
WinniCakes&More,4.6,-157,30.6826,76.743512,Restaurant,Bakery
90MListheSolution,4.4,-229,30.687582,76.737815,Restaurant,Bar
Barrelbells,4.1,-7,30.687915,76.737543,Restaurant,Bar
Robins69Bar,4.2,-141,30.695493,76.719907,Restaurant,Bar
BlueNiteBeerBar&Restaurant,4.1,-591,30.695946,76.768323,Restaurant,Bar
NineteenthMayRestaurant|Cafe|Bakery|Bar|CateringServices,4.5,-541,N/A,N/A,Restaurant,Bar
90MListheSolution,4.4,-229,30.687582,76.737815,Restaurant,Pub
BeansnBrooksCafe,4.3,-758,30.684244,76.741892,Restaurant,Pub
Block20,N/A,N/A,30.693547,76.739082,Restaurant,Pub
ChinuPunjabiDhaba,4,-8,30.679384,76.746908,Restaurant,FoodTruck
MohaliRocksRestaurant&PartyHall,5,-184,30.682598,76.743445,Restaurant,Buffet
BuffetHutMohali,4,"-2,863",30.695763,76.71859,Restaurant,Buffet
ChineseWok,3.2,-39,30.687806,76.737625,Restaurant,Buffet
BrarBuffetandDhaba,4.2,-714,30.702836,76.726915,Restaurant,Buffet
KataniBuffet,3.5,-98,30.711587,76.719686,Restaurant,Buffet
PizzaHood,4.6,-324,30.687652,76.729717,Restaurant,Pizzeria
AlvinPizzaCafe,4.2,-116,30.693368,76.733225,Restaurant,Pizzeria
BaskinRobbins,4.2,-243,30.688184,76.737811,Restaurant,IceCreamParlor
Giani'sicecreammohali,4,-13,30.688264,76.737731,Restaurant,IceCreamParlor
IcePice,4.3,-58,30.685314,76.740247,Restaurant,IceCreamParlor
DREAMWAFFLEPOINT,4.4,-18,30.688629,76.737525,Restaurant,IceCreamParlor
HFSuperIceCreamParlour,4.5,-194,30.702169,76.727451,Restaurant,IceCreamParlor
Arora'sFoods&Snacks,3.5,-155,30.697442,76.755351,Restaurant,FastFood
FoodParadise,4.5,-8,30.697455,76.755338,Restaurant,FastFood
Fastfoodrestaurant,N/A,N/A,30.694403,76.737912,Restaurant,FastFood
Hungerpangs,5,-1,30.693943,76.756802,Restaurant,FastFood
Laajawab,3.5,-98,30.697514,76.755337,Restaurant,FastFood
OceanViewRestaurant-AVentureofJ.P.HospitalityandServices,4.5,-295,30.701787,76.727769,Restaurant,FineDining
RoyaltyaFamilyRestaurantveg.&nonveg,4.4,-31,30.694868,76.73289,Restaurant,FineDining
BBQTONIGHT,5,-1,30.688325,76.7377,Restaurant,FineDining
MiyaonRestaurant,3.2,-544,30.686175,76.727219,Restaurant,FineDining
TheChefDude,4.3,-8,N/A,N/A,Restaurant,FineDining
Cup&Kitaab,4.3,"-1,439",30.686425,76.740848,Restaurant,Cafe
KAFEALLNIGHT(THEBABBUMAANSTORE),4.6,-58,30.686082,76.739396,Restaurant,Cafe
TheCafeNextDoor,3.8,-4,30.695187,76.730856,Restaurant,Cafe
ZocaCafeMohali,4.6,-153,30.687961,76.737506,Restaurant,Cafe
CafePlusHospitalityServices,5,-42,30.692315,76.733451,Restaurant,Cafe
Mombakers,3.8,-715,30.702285,76.727319,Restaurant,Bakery
BakersDelight,4.4,-81,30.703051,76.727153,Restaurant,Bakery
TheBakerSmith-BestEgglessBakery|BirthdayCake|WeddingCake|AnniversaryCake|CustomizedCakes|BestCakeShop,4.9,-181,30.696337,76.748348,Restaurant,Bakery
BestBaker&Cafe,4.9,-33,30.693888,76.732593,Restaurant,Bakery
FlavoursbyShivani,4.9,-475,30.695447,76.750431,Restaurant,Bakery
JATTMEHKMA,5,-19,30.693647,76.743613,Restaurant,Bar
Parking,N/A,N/A,30.69339,76.743866,Restaurant,Bar
VitaMilkBar,3.9,-34,30.693759,76.74856,Restaurant,Bar
VitaMilkBar,4.4,-91,30.696768,76.745337,Restaurant,Bar
Block20,N/A,N/A,30.693547,76.739082,Restaurant,Pub
ChineseWok,3.2,-39,30.687806,76.737625,Restaurant,Buffet
BBQTONIGHT,5,-1,30.688325,76.7377,Restaurant,Buffet
OceanViewRestaurant-AVentureofJ.P.HospitalityandServices,4.5,-295,30.701787,76.727769,Restaurant,Buffet
RoyaltyaFamilyRestaurantveg.&nonveg,4.4,-31,30.694868,76.73289,Restaurant,Buffet
PindStopRestaurant,4.4,-7,30.695201,76.731829,Restaurant,Buffet
PizzaHood,4.6,-324,30.687652,76.729717,Restaurant,Pizzeria
CaptainSam'sPizzaPhase7,4.2,-84,30.701929,76.72766,Restaurant,Pizzeria
Dominic'sPizza46,4.3,-81,30.70051,76.765795,Restaurant,Pizzeria
PizzaFreaker'z,4.1,-137,30.701314,76.76524,Restaurant,Pizzeria
AlvinPizzaCafe,4.2,-116,30.693368,76.733225,Restaurant,Pizzeria
SundaeFaulda,N/A,N/A,30.694763,76.740523,Restaurant,IceCreamParlor
Sarabjeetsingh,5,-1,30.700615,76.755462,Restaurant,IceCreamParlor
myBusiness,N/A,N/A,30.693197,76.74028,Restaurant,IceCreamParlor
VitaMilkBar,4.4,-91,30.696768,76.745337,Restaurant,IceCreamParlor
SinghQualityFoodsDepartmentalStore,3.7,-3,30.694188,76.756943,Restaurant,IceCreamParlor
BurgerKing,4.5,"-1,560",30.709629,76.721275,Restaurant,FastFood
Burgrill,4.2,-481,30.710211,76.721808,Restaurant,FastFood
BurgerPoint3B2,3.8,-769,30.712196,76.71926,Restaurant,FastFood
Scoobyard-BestfastFoodRestaurantinChandigarh,3.3,-4,30.694726,76.76969,Restaurant,FastFood
NewCharlie'sFood,3.9,-429,30.703924,76.710175,Restaurant,FastFood
Rajtrader,4,-391,30.707638,76.755443,Restaurant,FineDining
TheCafeNextDoor,3.8,-4,30.695187,76.730856,Restaurant,Cafe
WoodBlazedcafe,4.9,-16,30.714516,76.729705,Restaurant,Cafe
BestBaker&Cafe,4.9,-33,30.693888,76.732593,Restaurant,Cafe
AlvinPizzaCafe,4.2,-116,30.693368,76.733225,Restaurant,Cafe
TheCafeEstate,5,-2,30.698887,76.755258,Restaurant,Cafe
BakersDelight,4.4,-81,30.703051,76.727153,Restaurant,Bakery
Mombakers,3.8,-715,30.702285,76.727319,Restaurant,Bakery
RohitBakery,3.8,-112,30.704897,76.757732,Restaurant,Bakery
Naina'sBakeryHomeBakeryinChandigarh,N/A,N/A,30.73228,76.770713,Restaurant,Bakery
BansalNamkeen,3.9,-262,30.704896,76.725449,Restaurant,Bakery
Drunker'sheaven,4.4,-14,30.707475,76.757704,Restaurant,Bar
BeerShop,3.9,-28,30.70652,76.757594,Restaurant,Bar
Don,4.7,-3,30.70668,76.757642,Restaurant,Bar
DOABA'SJUICEBAR&EATINGJUNCTION,4,-33,30.710731,76.753713,Restaurant,Bar
KHANJUICECORNER,N/A,N/A,30.710604,76.745082,Restaurant,Bar
Drunker'sheaven,4.4,-14,30.707475,76.757704,Restaurant,Pub
OceanViewRestaurant-AVentureofJ.P.HospitalityandServices,4.5,-295,30.701787,76.727769,Restaurant,Buffet
RoyaltyaFamilyRestaurantveg.&nonveg,4.4,-31,30.694868,76.73289,Restaurant,Buffet
