Name,Rating,Number of Reviews,Latitude,Longitude,Search Query,UTC_Time,CenterLat,CenterLon,Distance_m
,4.5,(23),38.8527297,-77.0484533,Conference Center,2026-01-17T15:44:51.905180,38.856359,-77.048358,403.7
,5.0,(2),38.8488678,-77.0413481,Conference Center,2026-01-17T15:44:51.905180,38.856359,-77.048358,1030.7
,4.5,"(9,070)",38.9048838,-77.0229934,Conference Center,2026-01-17T15:44:51.905180,38.856359,-77.048358,5825.3
,4.1,"(2,163)",38.860565,-77.050201,Conference Center,2026-01-17T15:44:51.905180,38.856359,-77.048358,494.1
,4.7,(30),38.8908054,-77.0881445,Conference Center,2026-01-17T15:44:51.905180,38.856359,-77.048358,5151.1
,4.3,"(1,015)",38.8478104,-77.0514267,Conference Center,2026-01-17T15:44:51.905180,38.856359,-77.048358,987.0
,4.0,"(2,691)",38.8494446,-77.0532668,Conference Center,2026-01-17T15:44:51.905180,38.856359,-77.048358,878.5
,4.0,(51),38.8995065,-77.0381579,Conference Center,2026-01-17T15:44:51.905180,38.856359,-77.048358,4878.3
,4.5,"(4,380)",38.8939166,-77.0307749,Conference Center,2026-01-17T15:44:51.905180,38.856359,-77.048358,4444.9
,,·,38.855625,-77.048981,Conference Center,2026-01-17T15:44:51.905180,38.856359,-77.048358,97.8
,4.5,(23),38.8527297,-77.0484533,Conference Center,2026-01-17T15:45:09.649848,38.856359,-77.028358,1786.3
,5.0,(2),38.8488678,-77.0413481,Conference Center,2026-01-17T15:45:09.649848,38.856359,-77.028358,1399.7
,4.5,"(9,070)",38.9048838,-77.0229934,Conference Center,2026-01-17T15:45:09.649848,38.856359,-77.028358,5415.6
,4.1,"(2,163)",38.860565,-77.050201,Conference Center,2026-01-17T15:45:09.649848,38.856359,-77.028358,1948.3
,4.0,(51),38.8995065,-77.0381579,Conference Center,2026-01-17T15:45:09.649848,38.856359,-77.028358,4872.2
,4.7,(30),38.8908054,-77.0881445,Conference Center,2026-01-17T15:45:09.649848,38.856359,-77.028358,6438.8
,4.3,"(1,015)",38.8478104,-77.0514267,Conference Center,2026-01-17T15:45:09.649848,38.856359,-77.028358,2212.3
,4.4,(28),38.8918146,-77.0055037,Conference Center,2026-01-17T15:45:09.649848,38.856359,-77.028358,4411.0
,4.5,"(4,380)",38.8939166,-77.0307749,Conference Center,2026-01-17T15:45:09.649848,38.856359,-77.028358,4181.4
,,·,38.855625,-77.048981,Conference Center,2026-01-17T15:45:09.649848,38.856359,-77.028358,1787.6
,4.5,"(9,070)",38.9048838,-77.0229934,Conference Center,2026-01-17T15:45:27.340582,38.876359,-77.048358,3857.4
,4.5,"(4,380)",38.8939166,-77.0307749,Conference Center,2026-01-17T15:45:27.340582,38.876359,-77.048358,2475.4
,4.0,(51),38.8995065,-77.0381579,Conference Center,2026-01-17T15:45:27.340582,38.876359,-77.048358,2721.1
,4.7,(30),38.8908054,-77.0881445,Conference Center,2026-01-17T15:45:27.340582,38.876359,-77.048358,3800.0
,4.5,(23),38.8527297,-77.0484533,Conference Center,2026-01-17T15:45:27.340582,38.876359,-77.048358,2627.5
,4.3,(12),38.9016479,-77.0354623,Conference Center,2026-01-17T15:45:27.340582,38.876359,-77.048358,3025.4
,4.5,(278),38.8897747,-77.0729874,Conference Center,2026-01-17T15:45:27.340582,38.876359,-77.048358,2601.9
,4.7,(18),38.8972523,-77.0104381,Conference Center,2026-01-17T15:45:27.340582,38.876359,-77.048358,4021.1
,4.4,(28),38.8918146,-77.0055037,Conference Center,2026-01-17T15:45:27.340582,38.876359,-77.048358,4088.1
,5.0,(3),38.898038,-77.03093,Conference Center,2026-01-17T15:45:27.340582,38.876359,-77.048358,2843.6
,4.5,"(9,070)",38.9048838,-77.0229934,Conference Center,2026-01-17T15:45:45.593458,38.876359,-77.028358,3205.6
,4.4,(28),38.8918146,-77.0055037,Conference Center,2026-01-17T15:45:45.593458,38.876359,-77.028358,2620.4
,5.0,(1),38.8866234,-77.0032551,Conference Center,2026-01-17T15:45:45.593458,38.876359,-77.028358,2454.4
,4.1,"(4,593)",38.885564,-77.0196989,Conference Center,2026-01-17T15:45:45.593458,38.876359,-77.028358,1268.6
,4.5,"(4,380)",38.8939166,-77.0307749,Conference Center,2026-01-17T15:45:45.593458,38.876359,-77.028358,1963.5
,4.0,(51),38.8995065,-77.0381579,Conference Center,2026-01-17T15:45:45.593458,38.876359,-77.028358,2710.0
,4.5,"(9,070)",38.9048838,-77.0229934,Conference Center,2026-01-17T15:46:03.721417,38.896359,-77.048358,2390.9
,4.0,(51),38.8995065,-77.0381579,Conference Center,2026-01-17T15:46:03.721417,38.896359,-77.048358,949.6
,4.5,"(4,380)",38.8939166,-77.0307749,Conference Center,2026-01-17T15:46:03.721417,38.896359,-77.048358,1545.8
,4.3,(12),38.9016479,-77.0354623,Conference Center,2026-01-17T15:46:03.721417,38.896359,-77.048358,1261.5
,5.0,(3),38.898038,-77.03093,Conference Center,2026-01-17T15:46:03.721417,38.896359,-77.048358,1519.8
,4.6,"(3,536)",38.8968125,-77.0322812,Conference Center,2026-01-17T15:46:03.721966,38.896359,-77.048358,1392.2
,4.7,"(2,223)",38.9048185,-77.0572948,Conference Center,2026-01-17T15:46:03.721966,38.896359,-77.048358,1217.7
,4.3,"(3,745)",38.9019456,-77.0262179,Conference Center,2026-01-17T15:46:03.721966,38.896359,-77.048358,2014.2
,4.6,(536),38.8970756,-77.031311,Conference Center,2026-01-17T15:46:03.721966,38.896359,-77.048358,1477.4
,4.5,"(6,657)",38.9039084,-77.0249614,Conference Center,2026-01-17T15:46:03.721966,38.896359,-77.048358,2191.8
,4.5,"(9,070)",38.9048838,-77.0229934,Conference Center,2026-01-17T15:46:22.056452,38.896359,-77.028358,1055.5
,4.0,(51),38.8995065,-77.0381579,Conference Center,2026-01-17T15:46:22.056452,38.896359,-77.028358,917.4
,4.7,(18),38.8972523,-77.0104381,Conference Center,2026-01-17T15:46:22.056452,38.896359,-77.028358,1554.0
,4.5,"(4,380)",38.8939166,-77.0307749,Conference Center,2026-01-17T15:46:22.056452,38.896359,-77.028358,342.8
,4.3,(12),38.9016479,-77.0354623,Conference Center,2026-01-17T15:46:22.056452,38.896359,-77.028358,850.7
,5.0,(3),38.898038,-77.03093,Conference Center,2026-01-17T15:46:22.056452,38.896359,-77.028358,290.5
,4.4,(28),38.8918146,-77.0055037,Conference Center,2026-01-17T15:46:22.056452,38.896359,-77.028358,2041.5
,4.6,"(3,536)",38.8968125,-77.0322812,Conference Center,2026-01-17T15:46:22.056452,38.896359,-77.028358,343.2
,4.1,"(1,972)",38.901784,-77.019465,Conference Center,2026-01-17T15:46:22.056452,38.896359,-77.028358,977.8
,4.0,(538),38.9027937,-77.0201478,Conference Center,2026-01-17T15:46:22.056452,38.896359,-77.028358,1008.3
Conference Center and Historic Lobby,5.0,(2),38.8488678,-77.0413481,Conference Center,38.836359,-77.048358,1517.6
NRL Conference Center,4.3,(21),38.8251446,-77.0255112,Conference Center,38.836359,-77.048358,2339.2
"AMA Conference Center Washington, DC",4.5,(23),38.8527297,-77.0484533,Conference Center,38.836359,-77.048358,1820.3
Walter E. Washington Convention Center,4.5,"(9,070)",38.9048838,-77.0229934,Conference Center,38.836359,-77.048358,7929.7
Renaissance Arlington Capital View Hotel,4.3,"(1,015)",38.8478104,-77.0514267,Conference Center,38.836359,-77.048358,1300.7
AUSA Conference & Event Center,4.7,(30),38.8908054,-77.0881445,Conference Center,38.836359,-77.048358,6965.5
Conference Center and Historic Lobby,5.0,(2),38.8488678,-77.0413481,Conference Center,38.836359,-77.028358,1788.9
NRL Conference Center,4.3,(21),38.8251446,-77.0255112,Conference Center,38.836359,-77.028358,1271.2
"AMA Conference Center Washington, DC",4.5,(23),38.8527297,-77.0484533,Conference Center,38.836359,-77.028358,2518.4
Walter E. Washington Convention Center,4.5,"(9,070)",38.9048838,-77.0229934,Conference Center,38.836359,-77.028358,7633.7
Renaissance Arlington Capital View Hotel,4.3,"(1,015)",38.8478104,-77.0514267,Conference Center,38.836359,-77.028358,2369.2
AUSA Conference & Event Center,4.7,(30),38.8908054,-77.0881445,Conference Center,38.836359,-77.028358,7965.4
The White House Conference Center,4.0,(51),38.8995065,-77.0381579,Conference Center,38.836359,-77.028358,7072.7
Holiday Inn National Airport/Crystal City by IHG,4.0,"(2,691)",38.8494446,-77.0532668,Conference Center,38.836359,-77.028358,2602.1
The Hampton Conference Center,4.3,(326),38.8878831,-76.8662153,Conference Center,38.836359,-77.028358,15162.8
R.I.S.E. Demonstration Center,4.9,(27),38.8471095,-76.9953718,Conference Center,38.836359,-77.028358,3096.9
"AMA Conference Center Washington, DC",4.5,(23),38.8527297,-77.0484533,Conference Center,38.856359,-77.048358,403.7
Conference Center and Historic Lobby,5.0,(2),38.8488678,-77.0413481,Conference Center,38.856359,-77.048358,1030.7
Walter E. Washington Convention Center,4.5,"(9,070)",38.9048838,-77.0229934,Conference Center,38.856359,-77.048358,5825.3
"Crowne Plaza Crystal City-Washington, D.C. by IHG",4.1,"(2,163)",38.860565,-77.050201,Conference Center,38.856359,-77.048358,494.1
AUSA Conference & Event Center,4.7,(30),38.8908054,-77.0881445,Conference Center,38.856359,-77.048358,5151.1
Renaissance Arlington Capital View Hotel,4.3,"(1,015)",38.8478104,-77.0514267,Conference Center,38.856359,-77.048358,987.0
Holiday Inn National Airport/Crystal City by IHG,4.0,"(2,691)",38.8494446,-77.0532668,Conference Center,38.856359,-77.048358,878.5
The White House Conference Center,4.0,(51),38.8995065,-77.0381579,Conference Center,38.856359,-77.048358,4878.3
Ronald Reagan Building and International Trade Center,4.5,"(4,380)",38.8939166,-77.0307749,Conference Center,38.856359,-77.048358,4444.9
Concorde,,·,38.855625,-77.048981,Conference Center,38.856359,-77.048358,97.8
"AMA Conference Center Washington, DC",4.5,(23),38.8527297,-77.0484533,Conference Center,38.856359,-77.028358,1786.3
Conference Center and Historic Lobby,5.0,(2),38.8488678,-77.0413481,Conference Center,38.856359,-77.028358,1399.7
Walter E. Washington Convention Center,4.5,"(9,070)",38.9048838,-77.0229934,Conference Center,38.856359,-77.028358,5415.6
"Crowne Plaza Crystal City-Washington, D.C. by IHG",4.1,"(2,163)",38.860565,-77.050201,Conference Center,38.856359,-77.028358,1948.3
The White House Conference Center,4.0,(51),38.8995065,-77.0381579,Conference Center,38.856359,-77.028358,4872.2
AUSA Conference & Event Center,4.7,(30),38.8908054,-77.0881445,Conference Center,38.856359,-77.028358,6438.8
Renaissance Arlington Capital View Hotel,4.3,"(1,015)",38.8478104,-77.0514267,Conference Center,38.856359,-77.028358,2212.3
Top of the Hill Banquet & Conference Center,4.4,(28),38.8918146,-77.0055037,Conference Center,38.856359,-77.028358,4411.0
Ronald Reagan Building and International Trade Center,4.5,"(4,380)",38.8939166,-77.0307749,Conference Center,38.856359,-77.028358,4181.4
Concorde,,·,38.855625,-77.048981,Conference Center,38.856359,-77.028358,1787.6
